,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS,year_x,W,L,W/L%,GB,PS/G,PA/G,SRS,year_y,Th,playoffs,MEM,NOH,CHA,NOK,OKC,BRK,NOP,CHO
5,Cleveland Cavaliers,1-3,3-1,,0-4,,1-1,1-1,2-2,1-1,1-1,3-1,0-2,2-0,1-3,3-1,2-0,,4-0,3-0,3-0,2-0,1-1,1-1,0-2,,3-1,1-1,,2-1,2017,51,31,.622,2.0,110.3,107.2,2.87,2017,Cleveland Cavaliers,1,1-1,,,,1-1,3-0,1-1,4-0
6,Dallas Mavericks,0-2,0-2,,2-0,1-1,,1-3,0-2,0-3,0-4,1-1,2-2,4-0,1-1,2-0,1-2,,1-1,1-1,1-1,1-3,2-2,1-2,1-3,,0-2,1-3,,2-0,2017,33,49,.402,34.0,97.9,100.8,-2.53,2017,Dallas Mavericks,0,2-2,,,,1-2,2-0,2-2,0-2
7,Denver Nuggets,0-2,2-0,,2-0,1-1,3-1,,0-2,1-2,0-4,2-0,3-1,2-1,1-1,2-0,2-2,,2-0,2-0,1-1,4-0,1-3,2-2,0-3,,0-2,2-2,,0-2,2017,40,42,.488,27.0,111.7,111.2,0.70,2017,Denver Nuggets,0,0-3,,,,1-3,1-1,3-1,0-2
8,Detroit Pistons,2-1,1-3,,2-2,2-2,2-0,2-0,,0-2,1-1,0-4,1-1,2-0,2-2,1-3,2-0,,2-2,1-3,2-1,1-1,2-0,0-2,0-2,,1-3,0-2,,1-2,2017,37,45,.451,16.0,101.3,102.5,-1.29,2017,Detroit Pistons,0,1-1,,,,1-1,1-2,1-1,3-1
9,Golden State Warriors,2-0,1-1,,1-1,1-1,3-0,2-1,2-0,,3-1,2-0,4-0,3-1,1-1,2-0,3-1,,2-0,2-0,2-0,4-0,4-0,3-1,1-2,,2-0,2-1,,1-1,2017,67,15,.817,—,115.9,104.3,11.35,2017,Golden State Warriors,1,2-2,,,,4-0,2-0,4-0,2-0
10,Houston Rockets,0-2,1-1,,2-0,1-1,4-0,4-0,1-1,1-3,,0-2,2-1,2-1,0-2,1-1,3-1,,2-0,2-0,2-0,4-0,2-1,4-0,1-3,,1-1,1-2,,2-0,2017,55,27,.671,12.0,115.3,109.6,5.84,2017,Houston Rockets,1,2-2,,,,3-1,2-0,3-1,2-0
11,Indiana Pacers,2-1,0-3,,2-2,1-3,1-1,0-2,4-0,0-2,2-0,,2-0,1-1,1-2,1-3,1-1,,1-3,4-0,3-1,1-1,1-1,2-0,0-2,,1-2,1-1,,1-3,2017,42,40,.512,11.0,105.1,105.3,-0.64,2017,Indiana Pacers,1,1-1,,,,2-0,3-1,1-1,2-2
12,Los Angeles Clippers,2-0,1-1,,2-0,2-0,2-2,1-3,1-1,0-4,1-2,0-2,,3-1,2-0,0-2,1-2,,2-0,2-0,1-1,4-0,3-0,3-1,3-1,,1-1,3-1,,1-1,2017,51,31,.622,16.0,108.7,104.4,4.42,2017,Los Angeles Clippers,1,3-1,,,,2-2,1-1,2-1,2-0
13,Los Angeles Lakers,2-0,0-2,,1-1,0-2,0-4,1-2,0-2,1-3,1-2,1-1,1-3,,1-1,1-1,2-2,,1-1,1-1,1-1,2-2,0-4,2-2,1-3,,0-2,0-4,,0-2,2017,26,56,.317,41.0,104.6,111.5,-6.29,2017,Los Angeles Lakers,0,2-1,,,,1-2,1-1,2-2,0-2
14,Memphis Grizzlies,1-1,0-2,,1-1,1-1,2-2,3-0,1-1,2-2,2-2,1-1,1-3,1-2,1-1,1-1,3-1,,1-1,1-1,2-0,3-0,1-2,2-2,2-2,,1-1,3-1,,1-1,2017,43,39,.524,24.0,100.5,100.0,0.96,2017,Memphis Grizzlies,1,,,,,1-3,1-1,2-2,1-1
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017,,,,,,,,,,,,,,,,,,
16,Miami Heat,2-2,0-4,,1-2,3-1,1-1,1-1,2-2,1-1,2-0,2-1,0-2,1-1,,3-1,2-0,,1-2,1-3,2-2,1-1,0-2,2-0,0-2,,1-3,1-1,,4-0,2017,41,41,.500,12.0,103.2,102.1,0.77,2017,Miami Heat,0,1-1,,,,0-2,3-0,1-1,2-2
17,Milwaukee Bucks,1-3,1-2,,3-1,1-3,0-2,0-2,3-1,0-2,1-1,3-1,2-0,1-1,1-3,,1-1,,2-1,2-1,2-2,2-0,2-0,2-0,1-1,,1-3,0-2,,1-3,2017,42,40,.512,11.0,103.6,103.8,-0.45,2017,Milwaukee Bucks,1,1-1,,,,1-1,4-0,1-1,2-1
18,Minnesota Timberwolves,2-0,0-2,,2-0,0-2,2-1,2-2,0-2,1-3,1-3,1-1,2-1,2-2,0-2,1-1,,,0-2,2-0,1-1,3-0,1-3,1-3,0-4,,1-1,1-3,,1-1,2017,31,51,.378,36.0,105.6,106.7,-0.64,2017,Minnesota Timberwolves,0,1-3,,,,1-3,1-1,0-3,1-1
19,New Orleans Pelicans,1-1,1-1,,0-2,1-1,2-2,1-3,1-1,0-4,1-3,1-1,1-2,2-2,1-1,1-1,3-0,,2-0,1-1,1-1,3-1,3-1,1-2,1-3,,0-2,0-3,,0-2,2017,34,48,.415,33.0,104.3,106.4,-1.69,2017,New Orleans Pelicans,0,2-2,,,,0-4,1-1,,2-0
20,New York Knicks,1-3,1-3,,3-0,0-4,1-1,0-2,2-2,0-2,0-2,3-1,0-2,1-1,2-1,1-2,2-0,,,3-1,2-2,0-2,1-1,2-0,1-1,,0-4,0-2,,0-4,2017,31,51,.378,22.0,104.3,108.0,-3.87,2017,New York Knicks,0,1-1,,,,0-2,2-2,0-2,2-1
21,Oklahoma City Thunder,1-1,2-0,,1-1,1-1,2-1,3-1,1-1,0-4,1-3,0-2,2-2,2-1,2-0,1-1,3-1,,2-0,1-1,2-0,2-2,1-3,2-1,1-2,,1-1,3-1,,1-1,2017,47,35,.573,20.0,106.6,105.8,1.14,2017,Oklahoma City Thunder,1,3-1,,,,,2-0,4-0,0-2
22,Orlando Magic,2-2,0-3,,1-3,0-3,1-1,0-2,3-1,0-2,0-2,0-4,0-2,1-1,3-1,1-2,0-2,,1-3,,3-1,1-1,1-1,1-1,1-1,,2-2,0-2,,2-2,2017,29,53,.354,24.0,101.1,107.6,-6.61,2017,Orlando Magic,0,1-1,,,,1-1,2-1,1-1,0-4
23,Philadelphia 76ers,0-4,1-3,,1-3,0-3,1-1,1-1,1-2,0-2,0-2,1-3,1-1,1-1,2-2,2-2,1-1,,2-2,1-3,,1-1,1-1,1-1,0-2,,1-3,0-2,,2-1,2017,28,54,.341,25.0,102.4,108.1,-5.83,2017,Philadelphia 76ers,0,0-2,,,,0-2,3-1,1-1,2-1
24,Phoenix Suns,1-1,1-1,,1-1,0-2,3-1,0-4,1-1,0-4,0-4,1-1,0-4,2-2,1-1,0-2,0-3,,2-0,1-1,1-1,,1-3,1-3,1-2,,2-0,0-3,,0-2,2017,24,58,.293,43.0,107.7,113.3,-5.14,2017,Phoenix Suns,0,0-3,,,,2-2,0-2,1-3,1-1
25,Portland Trail Blazers,1-1,1-1,,1-1,1-1,2-2,3-1,0-2,0-4,1-2,1-1,0-3,4-0,2-0,0-2,3-1,,1-1,1-1,1-1,3-1,,2-1,2-2,,0-2,2-2,,0-2,2017,41,41,.500,26.0,107.9,108.5,-0.23,2017,Portland Trail Blazers,1,2-1,,,,3-1,2-0,1-3,1-1
26,Sacramento Kings,1-1,1-1,,0-2,1-1,2-1,2-2,2-0,1-3,0-4,0-2,1-3,2-2,0-2,0-2,3-1,,0-2,1-1,1-1,3-1,1-2,,0-4,,2-0,1-3,,0-2,2017,32,50,.390,35.0,102.8,106.7,-3.29,2017,Sacramento Kings,0,2-2,,,,1-2,1-1,2-1,1-1
27,San Antonio Spurs,1-1,2-0,,1-1,2-0,3-1,3-0,2-0,2-1,3-1,2-0,1-3,3-1,2-0,1-1,4-0,,1-1,1-1,2-0,2-1,2-2,4-0,,,2-0,2-2,,2-0,2017,61,21,.744,6.0,105.3,98.1,7.13,2017,San Antonio Spurs,1,2-2,,,,2-1,2-0,3-1,2-0
28,Toronto Raptors,1-2,3-1,,1-2,1-3,2-0,2-0,3-1,0-2,1-1,2-1,1-1,2-0,3-1,3-1,1-1,,4-0,2-2,3-1,0-2,2-0,0-2,0-2,,,2-0,,2-1,2017,51,31,.622,2.0,106.9,102.6,3.65,2017,Toronto Raptors,1,1-1,,,,1-1,4-0,2-0,2-2
29,Utah Jazz,2-0,0-2,,0-2,1-1,3-1,2-2,2-0,1-2,2-1,1-1,1-3,4-0,1-1,2-0,3-1,,2-0,2-0,2-0,3-0,2-2,3-1,2-2,,0-2,,,2-0,2017,51,31,.622,16.0,100.7,96.8,4.00,2017,Utah Jazz,1,1-3,,,,1-3,2-0,3-0,1-1
30,Washington Wizards,3-1,2-2,,3-1,1-2,0-2,2-0,2-1,1-1,0-2,3-1,1-1,2-0,0-4,3-1,1-1,,4-0,2-2,1-2,2-0,2-0,2-0,0-2,,1-2,0-2,,,2017,49,33,.598,4.0,109.2,107.4,1.36,2017,Washington Wizards,1,1-1,,,,1-1,4-0,2-0,3-1
0,Atlanta Hawks,,1-3,,0-3,1-3,2-0,1-1,1-3,0-2,0-2,1-3,0-2,0-2,1-3,0-3,1-1,,2-1,2-2,0-3,1-1,1-1,1-1,1-1,,0-4,2-0,,2-2,2018,24,58,.293,35.0,103.4,108.8,-5.30,2018,Atlanta Hawks,0,1-1,,,,0-2,1-3,1-1,0-4
1,Boston Celtics,3-1,,,3-1,1-2,2-0,2-0,2-1,1-1,1-1,2-2,1-1,1-1,1-2,2-2,2-0,,3-1,3-1,3-1,2-0,2-0,2-0,1-1,,2-2,1-1,,1-3,2018,55,27,.671,4.0,104.0,100.4,3.23,2018,Boston Celtics,1,2-0,,,,2-0,4-0,0-2,3-0
2,Brooklyn Nets,3-1,0-4,,3-0,1-3,2-0,0-2,1-3,0-2,0-2,0-4,0-2,0-2,3-1,1-2,1-1,,0-4,3-1,1-3,1-1,1-1,0-2,0-2,,0-4,1-1,,2-1,2018,28,54,.341,31.0,106.6,110.3,-3.67,2018,Brooklyn Nets,0,2-0,,,,1-1,,0-2,1-2
3,Chicago Bulls,3-0,1-3,,,0-4,2-0,0-2,1-3,0-2,0-2,1-3,0-2,0-2,1-3,2-2,1-1,,3-1,4-0,1-2,0-2,0-2,0-2,0-2,,0-4,1-1,,1-2,2018,27,55,.329,32.0,102.9,110.0,-6.84,2018,Chicago Bulls,0,2-0,,,,0-2,0-3,0-2,3-1
4,Charlotte Hornets,4-0,0-3,,1-3,0-3,1-1,1-1,2-1,1-1,0-2,2-2,1-1,1-1,0-4,2-2,1-1,,2-2,4-0,0-4,2-0,0-2,2-0,0-2,,0-4,1-1,,3-1,2018,36,46,.439,23.0,108.2,108.0,0.07,2018,Charlotte Hornets,0,2-0,,,,1-1,2-1,0-2,
5,Cleveland Cavaliers,3-1,2-1,,4-0,,2-0,1-1,3-1,0-2,0-2,1-3,1-1,1-1,2-1,3-1,1-1,,2-2,2-2,2-2,2-0,1-1,1-1,0-2,,2-1,1-1,,3-1,2018,50,32,.610,9.0,110.9,109.9,0.59,2018,Cleveland Cavaliers,1,2-0,,,,1-1,3-1,1-1,3-0
6,Dallas Mavericks,0-2,0-2,,0-2,0-2,,2-2,1-1,0-4,0-4,2-0,1-2,1-3,0-2,1-1,0-4,,1-1,1-1,0-2,0-3,1-2,2-2,1-3,,1-1,0-3,,2-0,2018,24,58,.293,41.0,102.3,105.4,-2.70,2018,Dallas Mavericks,0,3-1,,,,2-2,0-2,1-3,1-1
7,Denver Nuggets,1-1,0-2,,2-0,1-1,2-2,,2-0,2-2,0-3,1-1,1-2,2-2,1-1,2-0,1-3,,1-1,2-0,0-2,2-1,3-1,3-1,2-2,,1-1,2-2,,1-1,2018,46,36,.561,19.0,110.0,108.5,1.57,2018,Denver Nuggets,0,3-1,,,,3-1,2-0,2-1,1-1
8,Detroit Pistons,3-1,1-2,,3-1,1-3,1-1,0-2,,1-1,1-1,3-1,1-1,1-1,2-2,2-2,2-0,,3-0,1-2,0-4,2-0,1-1,2-0,1-1,,0-4,0-2,,1-3,2018,39,43,.476,20.0,103.8,103.9,-0.26,2018,Detroit Pistons,0,1-1,,,,1-1,3-1,0-2,1-2
9,Golden State Warriors,2-0,1-1,,2-0,2-0,4-0,2-2,1-1,,1-2,0-2,3-1,4-0,2-0,1-1,2-1,,2-0,2-0,2-0,4-0,1-2,2-2,3-1,,2-0,1-3,,2-0,2018,58,24,.707,7.0,113.5,107.5,5.79,2018,Golden State Warriors,1,2-1,,,,2-2,2-0,3-1,1-1
10,Houston Rockets,2-0,1-1,,2-0,2-0,4-0,3-0,1-1,2-1,,2-0,2-2,3-1,2-0,2-0,4-0,,2-0,2-0,1-1,4-0,4-0,2-1,3-1,,0-2,4-0,,1-1,2018,65,17,.793,—,112.4,103.9,8.21,2018,Houston Rockets,1,2-2,,,,1-2,2-0,3-1,2-0
11,Indiana Pacers,3-1,2-2,,3-1,3-1,0-2,1-1,1-3,2-0,0-2,,2-0,1-1,2-2,3-1,1-1,,2-1,3-0,2-1,2-0,0-2,2-0,2-0,,1-3,1-1,,1-2,2018,48,34,.585,11.0,105.6,104.2,1.18,2018,Indiana Pacers,1,2-0,,,,0-2,4-0,0-2,2-2
12,Los Angeles Clippers,2-0,1-1,,2-0,1-1,2-1,2-1,1-1,1-3,2-2,0-2,,3-1,0-2,2-0,0-4,,1-1,2-0,0-2,4-0,1-3,4-0,1-2,,2-0,1-3,,1-1,2018,42,40,.512,23.0,109.0,109.0,0.15,2018,Los Angeles Clippers,0,2-2,,,,0-3,2-0,1-3,1-1
13,Los Angeles Lakers,2-0,1-1,,2-0,1-1,3-1,2-2,1-1,0-4,1-3,1-1,1-3,,1-1,0-2,0-4,,1-1,1-1,1-1,3-1,0-3,2-2,3-0,,0-2,0-3,,1-1,2018,35,47,.427,30.0,108.1,109.6,-1.44,2018,Los Angeles Lakers,0,2-2,,,,2-2,2-0,0-3,1-1
14,Memphis Grizzlies,1-1,0-2,,0-2,0-2,1-3,1-3,1-1,1-2,2-2,0-2,2-2,2-2,0-2,0-2,2-1,,1-1,0-2,1-1,1-3,2-2,2-1,0-4,,0-2,0-3,,0-2,2018,22,60,.268,43.0,99.3,105.5,-5.81,2018,Memphis Grizzlies,0,,,,,0-4,0-2,2-2,0-2
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,
16,Miami Heat,3-1,2-1,,3-1,1-2,2-0,1-1,2-2,0-2,0-2,2-2,2-0,1-1,,3-0,1-1,,2-2,2-2,2-2,2-0,0-2,0-2,0-2,,2-1,2-0,,2-2,2018,44,38,.537,15.0,103.4,102.9,0.15,2018,Miami Heat,1,2-0,,,,0-2,1-3,0-2,4-0
17,Milwaukee Bucks,3-0,2-2,,2-2,1-3,1-1,0-2,2-2,1-1,0-2,1-3,0-2,2-0,0-3,,1-1,,4-0,3-1,2-2,2-0,2-0,2-0,2-0,,1-2,1-1,,2-2,2018,44,38,.537,15.0,106.5,106.8,-0.45,2018,Milwaukee Bucks,1,2-0,,,,1-1,2-1,0-2,2-2
18,Minnesota Timberwolves,1-1,0-2,,1-1,1-1,4-0,3-1,0-2,1-2,0-4,1-1,4-0,4-0,1-1,1-1,,,2-0,1-1,0-2,2-2,2-2,3-0,1-2,,1-1,2-2,,1-1,2018,47,35,.573,18.0,109.5,107.3,2.35,2018,Minnesota Timberwolves,1,1-2,,,,3-1,1-1,4-0,1-1
19,New Orleans Pelicans,1-1,2-0,,2-0,1-1,3-1,1-2,2-0,1-3,1-3,2-0,3-1,3-0,2-0,2-0,0-4,,1-1,1-1,1-1,3-0,2-2,2-2,3-1,,0-2,1-3,,0-2,2018,48,34,.585,17.0,111.7,110.4,1.48,2018,New Orleans Pelicans,1,2-2,,,,2-1,2-0,,2-0
20,New York Knicks,1-2,1-3,,1-3,2-2,1-1,1-1,0-3,0-2,0-2,1-2,1-1,1-1,2-2,0-4,0-2,,,1-3,0-4,2-0,0-2,1-1,0-2,,1-3,2-0,,1-2,2018,29,53,.354,30.0,104.5,108.0,-3.53,2018,New York Knicks,0,1-1,,,,1-1,4-0,1-1,2-2
21,Oklahoma City Thunder,2-0,0-2,,2-0,1-1,2-2,1-3,1-1,2-2,2-1,2-0,3-0,2-2,2-0,1-1,1-3,,1-1,1-1,2-0,2-1,0-4,3-1,2-2,,2-0,3-1,,1-1,2018,48,34,.585,17.0,107.9,104.4,3.42,2018,Oklahoma City Thunder,1,4-0,,,,,1-1,1-2,1-1
22,Orlando Magic,2-2,1-3,,0-4,2-2,1-1,0-2,2-1,0-2,0-2,0-3,0-2,1-1,2-2,1-3,1-1,,3-1,,0-3,2-0,0-2,0-2,1-1,,0-3,0-2,,1-3,2018,25,57,.305,34.0,103.4,108.2,-4.92,2018,Orlando Magic,0,2-0,,,,1-1,1-3,1-1,0-4
23,Philadelphia 76ers,3-0,1-3,,2-1,2-2,2-0,2-0,4-0,0-2,1-1,1-2,2-0,1-1,2-2,2-2,2-0,,4-0,3-0,,1-1,1-1,0-2,2-0,,1-3,2-0,,2-2,2018,52,30,.634,7.0,109.8,105.3,4.30,2018,Philadelphia 76ers,1,1-1,,,,0-2,3-1,1-1,4-0
24,Phoenix Suns,1-1,0-2,,2-0,0-2,3-0,1-2,0-2,0-4,0-4,0-2,0-4,1-3,0-2,0-2,2-2,,0-2,0-2,1-1,,0-4,3-1,0-4,,0-2,1-3,,1-1,2018,21,61,.256,44.0,103.9,113.3,-8.80,2018,Phoenix Suns,0,3-1,,,,1-2,1-1,0-3,0-2
25,Portland Trail Blazers,1-1,0-2,,2-0,1-1,2-1,1-3,1-1,2-1,0-4,2-0,3-1,3-0,2-0,0-2,2-2,,2-0,2-0,1-1,4-0,,3-1,1-2,,0-2,2-2,,1-1,2018,49,33,.598,16.0,105.6,103.0,2.60,2018,Portland Trail Blazers,1,2-2,,,,4-0,1-1,2-2,2-0
26,Sacramento Kings,1-1,0-2,,2-0,1-1,2-2,1-3,0-2,2-2,1-2,0-2,0-4,2-2,2-0,0-2,0-3,,1-1,2-0,2-0,1-3,1-3,,0-4,,0-2,0-3,,0-2,2018,27,55,.329,38.0,98.8,105.8,-6.60,2018,Sacramento Kings,0,1-2,,,,1-3,2-0,2-2,0-2
27,San Antonio Spurs,1-1,1-1,,2-0,2-0,3-1,2-2,1-1,1-3,1-3,0-2,2-1,0-3,2-0,0-2,2-1,,2-0,1-1,0-2,4-0,2-1,4-0,,,1-1,1-3,,1-1,2018,47,35,.573,18.0,102.7,99.8,2.89,2018,San Antonio Spurs,1,4-0,,,,2-2,2-0,1-3,2-0
28,Toronto Raptors,4-0,2-2,,4-0,1-2,1-1,1-1,4-0,0-2,2-0,3-1,0-2,2-0,1-2,2-1,1-1,,3-1,3-0,3-1,2-0,2-0,2-0,1-1,,,1-1,,2-2,2018,59,23,.720,—,111.7,103.9,7.29,2018,Toronto Raptors,1,2-0,,,,0-2,4-0,2-0,4-0
29,Utah Jazz,0-2,1-1,,1-1,1-1,3-0,2-2,2-0,3-1,0-4,1-1,3-1,3-0,0-2,1-1,2-2,,0-2,2-0,0-2,3-1,2-2,3-0,3-1,,1-1,,,2-0,2018,48,34,.585,17.0,104.1,99.8,4.47,2018,Utah Jazz,1,3-0,,,,1-3,1-1,3-1,1-1
30,Washington Wizards,2-2,3-1,,2-1,1-3,0-2,1-1,3-1,0-2,1-1,2-1,1-1,1-1,2-2,2-2,1-1,,2-1,3-1,2-2,1-1,1-1,2-0,1-1,,2-2,0-2,,,2018,43,39,.524,16.0,106.6,106.0,0.53,2018,Washington Wizards,1,2-0,,,,1-1,1-2,2-0,1-3
0,Atlanta Hawks,,0-4,,2-2,2-1,1-1,1-1,1-2,0-2,0-2,0-4,1-1,1-1,3-1,1-3,2-0,,1-3,0-4,3-1,2-0,0-2,0-2,0-2,,0-3,1-1,,2-2,2019,29,53,.354,31.0,113.3,119.4,-6.06,2019,Atlanta Hawks,0,1-1,,,,1-1,0-3,2-0,1-3
1,Boston Celtics,4-0,,,2-1,4-0,1-1,0-2,3-1,1-1,0-2,3-1,0-2,1-1,3-1,1-2,2-0,,3-1,0-3,3-1,1-1,0-2,2-0,0-2,,2-2,0-2,,3-0,2019,49,33,.598,11.0,112.4,108.0,3.90,2019,Boston Celtics,1,2-0,,,,2-0,2-2,2-0,2-2
2,Brooklyn Nets,3-0,2-2,,3-1,3-1,1-1,2-0,2-1,0-2,1-1,1-2,0-2,2-0,2-2,1-3,0-2,,3-1,2-1,2-2,2-0,0-2,2-0,1-1,,1-3,0-2,,2-2,2019,42,40,.512,18.0,112.2,112.3,-0.40,2019,Brooklyn Nets,1,1-1,,,,0-2,,1-1,2-2
3,Chicago Bulls,2-2,1-2,,,3-1,0-2,0-2,0-4,0-2,0-2,0-4,0-2,0-2,1-2,0-4,0-2,,1-2,2-2,1-3,2-0,0-2,0-2,1-1,,0-4,0-2,,3-1,2019,22,60,.268,38.0,104.9,113.4,-8.32,2019,Chicago Bulls,0,2-0,,,,1-1,1-3,0-2,1-2
4,Charlotte Hornets,3-1,2-2,,2-1,3-1,0-2,1-1,4-0,0-2,0-2,1-2,0-2,0-2,2-2,1-3,1-1,,2-1,2-2,0-4,2-0,0-2,1-1,2-0,,2-1,0-2,,3-1,2019,39,43,.476,21.0,110.7,111.8,-1.32,2019,Charlotte Hornets,0,2-0,,,,0-2,2-2,1-1,
5,Cleveland Cavaliers,1-2,0-4,,1-3,,0-2,0-2,1-3,0-2,1-1,1-3,0-2,1-1,0-4,1-3,0-2,,3-0,1-2,1-2,1-1,0-2,0-2,0-2,,1-3,0-2,,2-2,2019,19,63,.232,41.0,104.5,114.1,-9.39,2019,Cleveland Cavaliers,0,1-1,,,,0-2,1-3,0-2,1-3
6,Dallas Mavericks,1-1,1-1,,2-0,2-0,,0-3,1-1,2-2,2-2,1-1,2-2,0-3,0-2,0-2,2-1,,1-1,1-1,1-1,2-2,2-2,0-3,0-4,,0-2,1-3,,1-1,2019,33,49,.402,24.0,108.9,110.1,-0.87,2019,Dallas Mavericks,0,1-3,,,,3-1,1-1,1-3,2-0
7,Denver Nuggets,1-1,2-0,,2-0,2-0,3-0,,1-1,1-3,1-3,1-1,3-1,2-1,2-0,0-2,4-0,,2-0,2-0,1-1,3-1,3-1,3-0,2-2,,2-0,1-3,,1-1,2019,54,28,.659,3.0,110.7,106.7,4.19,2019,Denver Nuggets,1,2-1,,,,4-0,0-2,2-2,1-1
8,Detroit Pistons,2-1,1-3,,4-0,3-1,1-1,1-1,,1-1,1-1,1-3,1-1,1-1,2-2,0-4,2-0,,4-0,3-1,1-3,2-0,1-1,0-2,0-2,,3-0,0-2,,2-1,2019,41,41,.500,19.0,107.0,107.3,-0.56,2019,Detroit Pistons,1,2-0,,,,0-2,1-2,1-1,0-4
9,Golden State Warriors,2-0,1-1,,2-0,2-0,2-2,3-1,1-1,,1-3,2-0,3-1,3-1,1-1,1-1,3-1,,2-0,1-1,1-1,3-1,2-2,4-0,1-2,,0-2,2-1,,2-0,2019,57,25,.695,—,117.7,111.2,6.42,2019,Golden State Warriors,1,3-1,,,,2-1,2-0,3-0,2-0
10,Houston Rockets,2-0,2-0,,2-0,1-1,2-2,3-1,1-1,3-1,,2-0,1-2,3-1,1-1,0-2,1-2,,2-0,1-1,1-1,3-0,1-2,4-0,3-1,,2-0,2-2,,1-1,2019,53,29,.646,4.0,113.9,109.1,4.96,2019,Houston Rockets,1,3-1,,,,1-3,1-1,2-2,2-0
11,Indiana Pacers,4-0,1-3,,4-0,3-1,1-1,1-1,3-1,0-2,0-2,,1-1,1-1,3-0,1-3,1-1,,4-0,1-3,1-3,2-0,0-2,1-1,1-1,,1-2,2-0,,3-1,2019,48,34,.585,12.0,108.0,104.7,2.76,2019,Indiana Pacers,1,1-1,,,,1-1,2-1,2-0,2-1
12,Los Angeles Clippers,1-1,2-0,,2-0,2-0,2-2,1-3,1-1,1-3,2-1,1-1,,2-2,1-1,1-1,2-1,,2-0,2-0,0-2,4-0,1-3,4-0,2-2,,0-2,1-2,,1-1,2019,48,34,.585,9.0,115.1,114.3,1.09,2019,Los Angeles Clippers,1,3-1,,,,2-2,2-0,1-2,2-0
13,Los Angeles Lakers,1-1,1-1,,2-0,1-1,3-0,1-2,1-1,1-3,1-3,1-1,2-2,,2-0,0-2,1-3,,0-2,0-2,0-2,3-1,2-2,3-1,1-3,,0-2,2-2,,1-1,2019,37,45,.451,20.0,111.8,113.5,-1.33,2019,Los Angeles Lakers,0,1-2,,,,1-2,0-2,3-1,2-0
14,Memphis Grizzlies,1-1,0-2,,0-2,1-1,3-1,1-2,0-2,1-3,1-3,1-1,1-3,2-1,0-2,1-1,2-2,,1-1,1-1,1-1,2-1,2-2,1-3,2-2,,0-2,3-1,,1-1,2019,33,49,.402,24.0,103.5,106.1,-2.08,2019,Memphis Grizzlies,0,,,,,1-2,1-1,2-2,0-2
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,,,,,,,,,,,,,,,,,
16,Miami Heat,1-3,1-3,,2-1,4-0,2-0,0-2,2-2,1-1,1-1,0-3,1-1,0-2,,1-3,0-2,,3-0,1-3,1-2,1-1,2-0,0-2,2-0,,0-4,1-1,,3-1,2019,39,43,.476,21.0,105.7,105.9,-0.45,2019,Miami Heat,0,2-0,,,,1-1,2-2,2-0,2-2
17,Milwaukee Bucks,3-1,2-1,,4-0,3-1,2-0,2-0,4-0,1-1,2-0,3-1,1-1,2-0,3-1,,2-0,,3-1,2-1,2-1,0-2,1-1,2-0,1-1,,3-1,1-1,,2-1,2019,60,22,.732,—,118.1,109.3,8.04,2019,Milwaukee Bucks,1,1-1,,,,0-2,3-1,2-0,3-1
18,Minnesota Timberwolves,0-2,0-2,,2-0,2-0,1-2,0-4,0-2,1-3,2-1,1-1,1-2,3-1,2-0,0-2,,,2-0,1-1,0-2,2-1,1-3,2-2,1-3,,0-2,1-3,,1-1,2019,36,46,.439,21.0,112.5,114.0,-1.02,2019,Minnesota Timberwolves,0,2-2,,,,3-1,2-0,2-2,1-1
19,New Orleans Pelicans,0-2,0-2,,2-0,2-0,3-1,2-2,1-1,0-3,2-2,0-2,2-1,1-3,0-2,0-2,2-2,,1-1,0-2,0-2,2-2,0-3,3-1,1-3,,1-1,1-2,,1-1,2019,33,49,.402,24.0,115.4,116.8,-1.10,2019,New Orleans Pelicans,0,2-2,,,,2-2,1-1,,1-1
20,New York Knicks,3-1,1-3,,2-1,0-3,1-1,0-2,0-4,0-2,0-2,0-4,0-2,2-0,0-3,1-3,0-2,,,1-3,0-4,0-2,0-2,0-2,1-1,,0-4,0-2,,1-3,2019,17,65,.207,43.0,104.6,113.8,-8.93,2019,New York Knicks,0,1-1,,,,0-2,1-3,1-1,1-2
21,Oklahoma City Thunder,1-1,0-2,,1-1,2-0,1-3,0-4,2-0,1-2,3-1,1-1,2-2,2-1,1-1,2-0,1-3,,2-0,2-0,1-1,4-0,4-0,1-3,1-2,,1-1,4-0,,1-1,2019,49,33,.598,8.0,114.5,111.1,3.56,2019,Oklahoma City Thunder,1,2-1,,,,,2-0,2-2,2-0
22,Orlando Magic,4-0,3-0,,2-2,2-1,1-1,0-2,1-3,1-1,1-1,3-1,0-2,2-0,3-1,1-2,1-1,,3-1,,2-2,1-1,0-2,0-2,1-1,,2-2,1-1,,1-3,2019,42,40,.512,18.0,107.3,106.6,0.28,2019,Orlando Magic,1,1-1,,,,0-2,1-2,2-0,2-2
